key,value
floccinaucinihilipilification,"The shortest war in history was between Britain and Zanzibar on August 27, 1896. Zanzibar surrendered after 38 minutes."
pneumonoultramicroscopicsilicovolcanoconiosis,"Cleopatra lived closer in time to the first moon landing than to the construction of the Great Pyramid of Giza."
sesquipedalianism,"Oxford University is older than the Aztec Empire."
hippopotomonstrosesquipedaliophobia,"The Eiffel Tower can be 15 cm taller during hot days due to thermal expansion of the metal."
supercalifragilisticexpialidocious,"The first computer mouse was made of wood."
antidisestablishmentarianism,"The Guinness Book of World Records was created to settle pub arguments."
psychoneuroendocrinological,"The longest reigning monarch in history was Louis XIV of France, who ruled for 72 years."
triskaidekaphobia,"The Olympic Games used to award medals for art, including sculpture and music."
chrononhotonthologos,"The first alarm clock could only ring at 4 a.m."
thyroparathyroidectomized,"The Great Fire of London in 1666 destroyed most of the city, but only six people were recorded to have died."
